  wave      abs     scat    ext   ext/B albedo    g
  AA     cm^2/H   cm^2/H   cm^2/H             
  912. 5.93e-22 1.87e-22 7.80e-22  5.359  0.240  0.593
 1350. 3.03e-22 1.49e-22 4.52e-22  3.107  0.330  0.626
 1500. 2.57e-22 1.54e-22 4.12e-22  2.828  0.375  0.593
 1650. 2.01e-22 1.60e-22 3.61e-22  2.480  0.442  0.595
 2000. 1.97e-22 1.78e-22 3.76e-22  2.582  0.475  0.554
 2200. 2.18e-22 1.83e-22 4.01e-22  2.756  0.457  0.531
 2500. 1.33e-22 1.66e-22 2.99e-22  2.052  0.555  0.531
 2800. 1.01e-22 1.48e-22 2.48e-22  1.706  0.595  0.542
 3150. 8.42e-23 1.33e-22 2.17e-22  1.494  0.613  0.554
 3650. 6.58e-23 1.18e-22 1.84e-22  1.264  0.642  0.565
 4430. 4.71e-23 9.85e-23 1.46e-22  1.000  0.677  0.570
 5640. 3.10e-23 7.24e-23 1.03e-22  0.710  0.700  0.552
 8090. 1.81e-23 3.84e-23 5.65e-23  0.388  0.680  0.475
12590. 1.06e-23 1.45e-23 2.51e-23  0.172  0.576  0.323
22000. 5.51e-24 4.97e-24 1.05e-23  0.072  0.474  0.231
36000. 3.32e-24 1.91e-24 5.24e-24  0.036  0.366  0.108
45000. 2.62e-24 1.09e-24 3.70e-24  0.025  0.293  0.006
58000. 2.08e-24 4.95e-25 2.58e-24  0.018  0.192 -0.061
