  wave      abs     scat    ext   ext/B albedo    g
  AA     cm^2/H   cm^2/H   cm^2/H             
  912. 5.14e-22 1.99e-22 7.13e-22  4.857  0.279  0.621
 1350. 3.01e-22 1.67e-22 4.68e-22  3.192  0.357  0.630
 1500. 2.57e-22 1.78e-22 4.36e-22  2.970  0.409  0.593
 1650. 1.90e-22 1.88e-22 3.77e-22  2.572  0.497  0.594
 2000. 1.37e-22 2.08e-22 3.45e-22  2.353  0.602  0.558
 2200. 1.33e-22 2.09e-22 3.43e-22  2.335  0.611  0.543
 2500. 8.74e-23 1.88e-22 2.75e-22  1.878  0.683  0.546
 2800. 6.99e-23 1.68e-22 2.38e-22  1.623  0.707  0.556
 3150. 6.02e-23 1.52e-22 2.12e-22  1.444  0.716  0.565
 3650. 4.93e-23 1.33e-22 1.82e-22  1.244  0.730  0.574
 4430. 3.77e-23 1.09e-22 1.47e-22  1.000  0.743  0.575
 5640. 2.71e-23 7.84e-23 1.06e-22  0.719  0.743  0.553
 8090. 1.74e-23 4.11e-23 5.85e-23  0.399  0.703  0.472
12590. 1.07e-23 1.64e-23 2.71e-23  0.185  0.604  0.323
22000. 6.14e-24 6.36e-24 1.25e-23  0.085  0.509  0.230
36000. 3.85e-24 2.36e-24 6.22e-24  0.042  0.380  0.068
45000. 3.03e-24 1.29e-24 4.32e-24  0.029  0.298 -0.017
58000. 2.37e-24 5.44e-25 2.92e-24  0.020  0.187 -0.068
