  wave      abs     scat    ext   ext/B albedo    g
  AA     cm^2/H   cm^2/H   cm^2/H             
  912. 1.56e+06 9.39e+04 1.65e+06  8.453  0.057  0.581
 1350. 5.37e+05 6.76e+04 6.04e+05  3.091  0.112  0.697
 1500. 4.62e+05 6.16e+04 5.23e+05  2.677  0.118  0.681
 1650. 4.63e+05 6.03e+04 5.24e+05  2.679  0.115  0.672
 2000. 8.33e+05 7.65e+04 9.10e+05  4.653  0.084  0.592
 2200. 1.09e+06 8.52e+04 1.18e+06  6.026  0.072  0.542
 2500. 5.96e+05 8.25e+04 6.79e+05  3.473  0.121  0.517
 2800. 4.13e+05 7.45e+04 4.88e+05  2.494  0.153  0.525
 3150. 3.31e+05 6.85e+04 4.00e+05  2.046  0.171  0.538
 3650. 2.35e+05 6.25e+04 2.97e+05  1.522  0.210  0.543
 4430. 1.41e+05 5.47e+04 1.95e+05  1.000  0.280  0.532
 5640. 6.83e+04 4.44e+04 1.13e+05  0.577  0.394  0.493
 8090. 2.79e+04 3.05e+04 5.84e+04  0.299  0.522  0.399
12590. 1.82e+04 1.71e+04 3.54e+04  0.181  0.485  0.279
22000. 8.11e+03 6.15e+03 1.43e+04  0.073  0.431  0.133
36000. 4.03e+03 1.56e+03 5.59e+03  0.029  0.279 -0.006
45000. 2.82e+03 7.01e+02 3.52e+03  0.018  0.199 -0.039
58000. 2.07e+03 2.55e+02 2.33e+03  0.012  0.110 -0.054
